,Description,Prices
0,Promate Satchel-BP SleekComfort 15.6″ Laptop Backpack With Multiple Pockets,"KSh4,500.00"
1,Promate Mogul-TR SecureStorage Trolley bag for 16” Laptop with Multiple Large Compartments,"KSh9,500.00"
2,X509JB-EJ018 Intel Core i5 1035G1 4GB 256GB SSD MX110,KSh326.00
3,New MacBook Pro 13.3 with Retina Display ( Space Gray),"KSh1,989.00 Original price was: KSh1,989.00.KSh1,860.00Current price is: KSh1,860.00."
4,"Lenovo Yoga 7 2-in-1 14IML9 (83DJ003NUE), Intel® Core™ Ultra 7 155H, 16gb RAM, 1x 1TB M.2 PCIe® NVMe® SSD, Windows 11 Home, 14″ Screen FHD","KSh180,000.00"
5,Lenovo IdeaPad i3 8GB 512GB SSD 14″ Win 11 Home,"KSh50,000.00"
6,Promate TrekPack-BP 17.3 Inch Professional Slim Laptop Backpack with Anti-Theft Handy Pocket,"KSh7,500.00"
7,Promate Satchel-HB SleekComfort™ 13” Tablet Hand Bag with Multiple Compartments,"KSh3,000.00"
8,Promate Limber-SB Lightweight 13″ Tablet Sleeve with Front Storage Zipper,"KSh2,500.00"
9,"HP Pavilion x360 Convertible 14m-dw1033dx, 256GB SSD, 8GB RAM, i5-1135G7, 2.4GHz","KSh90,000.00"
10,"HP 14s DQ2072NIA, Core i5 1165G7, 8GB, 512GB SSD, DOS, 14″ HD","KSh94,000.00"
11,Thomson NEO – 15.6″ Notebook Laptop,"KSh20,000.00"
12,"HP ENVY x360 2-in-1 14-es0013dx | Core i5-1335U, 8GB, 512GB","KSh100,000.00"
13,"HP 15S-FQ5000NIA Core i3, 4GB Ram, 256GB SSD","KSh55,000.00"
14,"Lenovo IdeaPad 1 15IAU7 Laptop | 12th Gen i3-1215U, 4GB, 256 SSD, 15.6″ FHD","KSh50,000.00"
15,"Lenovo IdeaPad 3 14ITL6, Intel Core i7 1165G7, 8GB DDR4 3200 (Up to 12GB Support), 512GB SSD M.2 2280 PCIe 3.0×4 NVMe, Windows 11 Home, 14″ FHD","KSh88,000.00"
